lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT006468.2 0.0 0.0975545 0.0112272 0.0 0.0 0.0957318 0.0 0.486676 0.0 0.0 0.0 0.872157 0.0806703 0.0 0.0 0.0 0.497068 0.0 0.358091 0.0 0.121196 0.0 0.0 0.0
NONHSAT006476.2 0.0 0.0220607 0.0 0.0 0.0311202 0.0 0.0 0.00555776 0.0 0.0209847 0.0103781 0.0 0.00482838 0.0287823 0.0 0.0 0.0128978 0.0 0.0 0.0 0.0 0.0376113 0.0 0.0
NONHSAT006483.2 0.0 0.0 0.0 0.0 0.0 0.000614554 0.0 0.0 0.0 0.0131986 0.0 0.131286 0.0 0.0 0.0 0.122931 0.0 0.0 0.0607571 0.0 0.0 0.0 0.0 0.106384
NONHSAT006486.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.112059 0.0 0.0
NONHSAT006726.2 0.0 0.0 0.0 0.0 0.0883408 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00975787 0.0 0.176213 0.0 0.0141793 0.0 0.0 0.0 0.0 0.0
NONHSAT006728.2 0.410644 0.0 0.31429 0.0 0.0 0.0 0.0 0.0 0.0 0.0647088 2.70457 1.91332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.61696 0.263984 0.0 0.135277 0.0
NONHSAT006743.2 0.0 0.0 0.10152 0.0 0.148805 0.0 0.0 0.0 0.0 0.0 0.000140678 0.0 0.0 0.0 0.0 0.319468 0.217927 0.255489 0.0 0.0 0.0 0.399901 0.612317 0.252408
NONHSAT006744.2 0.763925 1.17212 0.48504 0.259655 0.00134645 0.39849 0.0 0.208525 0.424107 0.242067 0.0 0.828631 0.04135 0.141041 2.63547 0.776039 0.157845 0.0 0.424207 0.34026 1.60686 0.556514 1.84486 1.24291
NONHSAT006907.2 0.0 0.107808 0.662464 0.0 0.0 0.0 0.0 0.341718 0.0 0.0 0.0 0.777371 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0118424 0.223634 0.249024 0.0
NONHSAT007250.2 0.0 0.447681 0.0 0.532298 0.0 0.241681 0.0 0.0456655 0.0 0.210536 0.364253 0.560727 0.0 0.0 0.0 0.0 1.41866 0.00137462 0.621898 0.0 2.53554 1.73843 0.2519 0.0
NONHSAT007251.2 0.0 0.0 0.378841 0.0 0.179839 0.446992 0.211433 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT007256.2 0.0 0.0 0.000117638 0.000461695 0.0 0.0 0.283524 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.407035 0.32787 0.0 0.0 0.442178 1.0927 0.118009 0.0
NONHSAT007257.2 0.672203 0.145938 0.0 0.0 0.386296 0.0 0.0 0.322715 0.0 0.0 0.0 0.0 0.000466675 0.0 0.285482 1.20389 0.354176 0.0 0.0 0.0 0.410856 0.0 0.616621 0.0
NONHSAT007258.2 0.00141719 0.0 1.00163 0.3635 0.0 0.0 1.08866 0.00012492 0.0 0.0 0.0 0.926718 0.0 0.0 0.0 0.0 1.36671 0.0 0.6083 0.0 1.86358 1.53277 0.786537 0.0173905
NONHSAT007262.2 0.0 0.0 0.20948 0.0 0.000103312 0.0 0.616022 0.0885871 0.429033 0.0627437 0.0960993 0.0 0.0 0.0 0.0 0.0 0.0699922 0.0132905 0.142881 0.0 0.0 0.0 0.0 0.466677
NONHSAT007662.2 0.0 0.499355 0.419887 2.94439 2.39825 0.0 4.93861 0.0 0.0 0.584047 0.0953719 0.0 0.0 0.0 0.0 3.67629 2.99129 4.37189 2.85506 1.87464 1.70496 0.115866 1.55326 23.9053
